n,m,bf,fw,dp,df
14,13,2.48826,1781.32,92.6532,1.63949
14,13,1.85235,2072.97,99.4873,2.08735
14,13,1.7042,1855.36,98.2052,1.6669
14,13,2.22583,2252.33,90.8339,1.64525
14,13,1.72605,1861.48,100.369,1.64716
14,13,1.71927,1438.78,82.6507,1.65881
14,13,1.74717,1407.58,84.5079,1.6638
14,13,1.06843,1425.02,27.0325,0.728182
14,13,1.18989,1426.25,29.3694,0.625337
14,13,1.07876,1839.83,28.6789,0.718979
14,13,1.35799,1803.36,30.659,0.740433
14,13,1.3032,1710.74,27.7741,0.64905
14,13,1.08451,2321.23,29.022,0.620943
14,13,1.10447,1845.38,31.8659,0.731189
14,13,1.71145,1367.62,28.4475,1.00478
14,13,1.12112,2510.42,32.7452,0.646652
14,13,1.15474,2277.94,26.8485,0.650725
14,13,1.25886,1467.95,46.7466,1.31005
14,13,2.07395,1809.76,39.5697,0.753793
14,13,1.27033,1552.76,38.9952,0.823927
14,13,1.46276,2096.58,52.9686,1.40335
14,13,1.35856,1289.44,38.3332,0.749364
14,13,1.24873,2057.85,38.8927,0.769997
14,13,1.28217,1588.14,46.9155,1.32597
14,13,1.62007,1639.82,38.7228,0.749335
14,13,1.32433,1846.67,73.5348,1.22677
14,13,1.38028,1488.55,39.2511,0.746158
14,13,2.21301,1325.68,77.2471,1.83796
14,13,2.23597,1433.4,78.155,1.79122
14,13,2.26104,1178.68,78.5141,1.83832
14,13,2.24434,1224.22,77.9308,1.79766
14,13,2.27284,1403.1,81.1474,1.88032
14,13,2.31924,1471.81,79.3165,1.85937
14,13,2.31534,1382.9,78.2845,1.82802
14,13,2.28772,1299.18,78.7112,1.84765
14,13,2.33357,1305.74,83.655,2.08176
14,13,2.33942,1455.82,77.367,1.95581
14,13,1.66886,1443.85,52.1337,1.00516
14,13,1.63477,1311.61,52.3,0.97001
14,13,1.70432,1464.19,50.0668,0.971706
14,13,1.64153,1303.67,49.9387,0.99789
14,13,1.65018,1304.89,50.8059,1.01764
14,13,1.68892,1287.73,51.88,0.995865
14,13,1.65055,1299.38,52.5872,0.990899
14,13,1.69904,1345.91,52.0023,1.00547
14,13,1.63305,1242.72,51.1954,0.991058
14,13,1.64509,1484.76,53.098,1.01328
14,13,1.69006,1324.28,78.0503,1.30385
14,13,1.74961,1373.94,74.229,1.44262
14,13,1.77056,1470.92,78.7701,1.33509
14,13,1.76087,1442.61,80.2254,1.33893
14,13,1.92684,1289.95,75.4446,1.35106
14,13,2.26931,1309.5,83.3547,2.16822
14,13,2.57208,1384.98,78.4931,1.37882
14,13,1.77281,1269.1,79.9339,1.402
14,13,1.78944,1316.71,75.4902,1.30415
14,13,1.71551,1343.72,79.4085,1.40002
14,13,1.79647,1350.74,61.3934,1.65248
14,13,1.61449,1423.57,59.0279,1.64484
14,13,1.70189,1377.73,61.5389,1.6138
14,13,1.66724,1345.52,61.9485,1.69064
14,13,1.61916,1353.23,62.3761,1.64367
14,13,1.6884,1343.43,70.5398,1.66017
14,13,1.68159,1392.73,58.7668,1.66346
14,13,1.68317,1340.17,58.855,1.67497
14,13,1.77064,1389.81,62.0905,1.65297
14,13,1.67019,1263.69,62.3269,1.64277
14,13,2.70515,1341.46,152.075,2.58488
14,13,2.70972,1279.54,169.705,2.79031
14,13,2.76197,1645.63,173.254,2.68727
14,13,3.15273,1790.18,151.794,2.6125
14,13,2.70206,1856.06,154.617,2.66877
14,13,2.75945,1334.8,151.59,2.56803
14,13,2.73836,1440.04,162.657,3.12893
14,13,2.7472,1544.02,150.886,4.76982
14,13,4.06094,1318.77,152.795,2.60365
14,13,2.70835,1542.04,184.244,2.61671
14,13,2.31192,1659.55,152.873,3.32004
14,13,2.83517,2269.03,146.618,2.27126
14,13,2.44458,2147.92,180.436,4.42314
14,13,2.34817,1698.73,152.217,2.1237
14,13,2.27585,1349.6,130.252,2.86737
14,13,2.76224,1352.27,127.683,2.02193
14,13,2.28526,1339.63,127.483,2.05326
14,13,2.2971,1570.02,135.874,2.04495
14,13,2.26169,1884.85,148.696,2.11084
14,13,2.6633,1732.95,133.508,2.0726
14,13,1.09046,1597.03,31.3386,0.767433
14,13,1.08249,1587.59,31.5636,0.780251
14,13,1.10524,1672.78,30.8663,0.769309
14,13,1.09861,1296.46,31.0912,0.761181
14,13,1.10066,1571.01,36.6276,1.21468
14,13,1.28855,1689.67,34.622,0.851744
14,13,1.10944,1516.51,33.0226,0.752172
14,13,1.10482,1367.38,32.7636,0.747964
14,13,1.13139,1310.74,31.1524,0.779378
14,13,1.18627,1346.78,33.0438,0.754106
16,15,1.50283,1941.47,35.7536,1.61129
16,15,1.55247,2053.09,36.2038,1.55202
16,15,1.58698,1976.52,35.4159,1.50758
16,15,1.51545,1990.54,35.5431,1.64593
16,15,1.61379,2052.47,36.2047,1.55365
16,15,1.51974,2085.56,37.7599,1.70904
16,15,1.62194,2056.58,37.5771,1.60328
16,15,1.59481,2071.64,44.0616,2.25477
16,15,1.68781,2181.33,36.9571,1.57993
16,15,1.75412,1929.61,35.5621,1.55668
16,15,2.65572,2003.11,86.0276,2.42802
16,15,2.71208,2030.81,86.76,2.3741
16,15,2.64742,2001.37,89.9867,2.51813
16,15,2.74399,1926.17,87.514,2.57967
16,15,2.65821,1941.43,87.6981,2.37459
16,15,2.62215,2008.57,84.9952,2.36688
16,15,2.76728,1962.87,83.5763,2.45165
16,15,2.68871,2008.02,84.2413,2.39259
16,15,2.6638,1980.24,84.1199,2.34507
